"Wal-Mart Stores Inc"," Bentonville"," AR"," > 100K"," Retail"," Department Stores"," Wholesale & Distribution"," Grocery and Food Wholesalers"," Wholesale & Distribution"," Apparel Wholesalers"
"Exxon Mobil Corporation"," Irving"," TX"," 50K - 100K"," Energy & Utilities"," Gasoline and Oil Refineries"," Manufacturing"," Chemicals and Petrochemicals"," Energy & Utilities"," Alternative Energy Sources"
"Chevron Corporation"," San Ramon"," CA"," 50K - 100K"," Energy & Utilities"," Gasoline and Oil Refineries"," Energy & Utilities"," Alternative Energy Sources"
"Berkshire Hathaway Inc."," Omaha"," NE"," 250 - 1000"," Financial Services"," Insurance and Risk Management"
"Apple Inc."," Cupertino"," CA"," 50K - 100K"," Computers & Electronics"," Consumer Electronics"," Parts and Repair"," Computers & Electronics"," IT and Network Services and Support"," Telecommunications"," Wireless and Mobile"
"Phillips 66"," Houston"," TX"," 10K - 50K"," Energy & Utilities"," Gasoline and Oil Refineries"
"General Motors Company"," Detroit"," MI"," > 100K"," Manufacturing"," Automobiles"," Boats and Motor Vehicles"," Financial Services"," Lending and Mortgage"," Wholesale & Distribution"," Automobile Parts Wholesalers"
"Ford Motor Company"," Dearborn"," MI"," > 100K"," Manufacturing"," Automobiles"," Boats and Motor Vehicles"," Financial Services"," Lending and Mortgage"," Wholesale & Distribution"," Automobile Parts Wholesalers"
"General Electric Company"," Fairfield"," CT"," > 100K"," Manufacturing"," Tools"," Hardware and Light Machinery"," Computers & Electronics"," Computers & Electronics Other"," Energy & Utilities"," Energy & Utilities Other"
"Valero Energy Corporation"," San Antonio"," TX"," 10K - 50K"," Manufacturing"," Chemicals and Petrochemicals"," Retail"," Gasoline Stations"," Energy & Utilities"," Gasoline and Oil Refineries"
"AT&T", "Dallas"," TX"," > 100K"," Telecommunications"," Telephone Service Providers and Carriers"," Telecommunications"," Wireless and Mobile"," Telecommunications"," Telecommunications Other"
"CVS Health"," Woonsocket"," RI"," > 100K"," Healthcare"," Pharmaceuticals"," & Biotech"," Personal Health Care Products"," Retail"," Retail Other"
"Federal National Mortgage Association (Fannie Mae)"," Washington"," DC"," 1K - 10K"," Financial Services"," Lending and Mortgage"," Financial Services"," Insurance and Risk Management"," Financial Services"," Financial Services Other"
"UnitedHealth Group"," Minnetonka"," MN"," > 100K"," Financial Services"," Insurance and Risk Management"
"McKesson Corporation"," San Francisco"," CA"," 10K - 50K"," Healthcare"," Pharmaceuticals"," & Biotech"," Pharmaceuticals"
"Verizon Communications Inc."," New York"," NY"," > 100K"," Telecommunications"," Telephone Service Providers and Carriers"
"Hewlett-Packard Company"," Palo Alto"," CA"," > 100K"," Computers & Electronics"," Computers & Electronics Other"," Computers & Electronics"," Office Machinery and Equipment"," Software & Internet"," Software"
"JPMorgan Chase & Co."," New York"," NY"," > 100K"," Financial Services"," Banks"," Financial Services"," Lending and Mortgage"
"Costco Wholesale Corporation"," Issaquah"," WA"," > 100K"," Retail"," Grocery and Specialty Food Stores"," Retail"," Department Stores"," Retail"," Sporting Goods"," Hobby"," Book"," and Music Stores"
"Express Scripts Holding Company"," Saint Louis"," MO"," 10K - 50K"," Healthcare"," Pharmaceuticals"," & Biotech"," Pharmaceuticals"," Wholesale & Distribution"," Wholesale & Distribution Other"
"Bank of America"," Charlotte"," NC"," > 100K"," Financial Services"," Banks"," Financial Services"," Lending and Mortgage"," Financial Services"," Investment Banking and Venture Capital"
"Cardinal Health"," Dublin"," OH"," 10K - 50K"," Healthcare"," Pharmaceuticals"," & Biotech"," Healthcare"," Pharmaceuticals"," and Biotech Other"," Healthcare"," Pharmaceuticals"," & Biotech"," Diagnostic Laboratories"," Healthcare"," Pharmaceuticals"," & Biotech"," Medical Supplies and Equipment"
"International Business Machines Corporation"," Armonk"," NY"," > 100K"," Computers & Electronics"," Networking Equipment and Systems"," Computers & Electronics"," IT and Network Services and Support"," Computers & Electronics"," Computers"," Parts and Repair"
"The Kroger Co."," Cincinnati"," OH"," > 100K"," Retail"," Grocery and Specialty Food Stores"," Retail"," Retail Other"
"Marathon Petroleum Company"," Findlay"," OH"," 10K - 50K"," Energy & Utilities"," Gasoline and Oil Refineries"
"Citigroup Incorporated"," New York"," NY"," > 100K"," Financial Services"," Banks"," Financial Services"," Personal Financial Planning and Private Banking"," Financial Services"," Credit Cards and Related Services"
"Archer Daniels Midland Company"," Chicago"," IL"," 10K - 50K"," Agriculture & Mining"," Farming and Ranching"," Manufacturing"," Food & Dairy Product Manufacturing and Packaging"
"AmerisourceBergen", Chesterbrook"," PA"," 10K - 50K"," Healthcare"," Pharmaceuticals"," & Biotech"," Pharmaceuticals"," Wholesale & Distribution"," Wholesale & Distribution Other"
"Wells Fargo & Company"," San Francisco"," CA"," > 100K"," Financial Services"," Banks"," Financial Services"," Lending and Mortgage"," Financial Services"," Financial Services Other"
"The Boeing Company"," Chicago"," IL"," > 100K"," Manufacturing"," Aerospace and Defense"," Computers & Electronics"," Instruments and Controls"," Computers & Electronics"," Computers & Electronics Other"
"The Procter & Gamble Company"," Cincinnati"," OH"," > 100K"," Consumer Services"," Personal Care"," Consumer Services"," Consumer Services Other"," Consumer Services"," Personal Care"
"Federal Home Loan Mortgage Corporation (Freddie Mac)"," Mc Lean"," VA"," 1K - 10K"," Financial Services"," Lending and Mortgage"," Financial Services"," Financial Services Other"
"Home Depot USA  Inc"," Atlanta"," GA"," > 100K"," Retail"," Hardware and Building Material Dealers"," Retail"," Furniture Stores"," Retail"," Retail Other"
"Microsoft Corporation"," Redmond"," WA"," > 100K"," Software & Internet"," Software"," Software & Internet"," E-commerce and Internet Businesses"," Software & Internet"," Data Analytics"," Management and Storage"
"Amazon.com Inc."," Seattle"," WA"," 50K - 100K"," Retail"," Sporting Goods"," Hobby"," Book"," and Music Stores"," Software & Internet"," E-commerce and Internet Businesses"," Software & Internet"," Software & Internet Other"
"Target Corporation Inc."," Minneapolis"," MN"," > 100K"," Retail"," Department Stores"," Retail"," Clothing and Shoes Stores"," Computers & Electronics"," Audio"," Video and Photography"
"Walgreen Co."," Deerfield"," IL"," > 100K"," Healthcare"," Pharmaceuticals"," & Biotech"," Pharmaceuticals"," Retail"," Grocery and Specialty Food Stores"," Retail"," Beer"," Wine"," and Liquor Stores"
"Anthem Inc."," Indianapolis"," IN"," 10K - 50K"," Healthcare"," Pharmaceuticals"," & Biotech"," Healthcare"," Pharmaceuticals"," and Biotech Other"," Financial Services"," Insurance and Risk Management"
"American International Group (AIG)"," New York"," NY"," > 100K"," Financial Services"," Insurance and Risk Management"," Financial Services"," Trust"," Fiduciary"," and Custody Activities"
"State Farm Insurance"," Bloomington"," IL"," 50K - 100K"," Financial Services"," Insurance and Risk Management"
"MetLife Inc."," New York"," NY"," 50K - 100K"," Financial Services"," Insurance and Risk Management"," Financial Services"," Trust"," Fiduciary"," and Custody Activities"," Financial Services"," Banks"
"PepsiCo Inc."," Purchase"," NY"," 50K - 100K"," Manufacturing"," Nonalcoholic Beverages"," Manufacturing"," Food & Dairy Product Manufacturing and Packaging"," Wholesale & Distribution"," Wholesale & Distribution Other"
"Comcast Corporation"," Philadelphia"," PA"," > 100K"," Telecommunications"," Cable Television Providers"," Media & Entertainment"," Media & Entertainment Other"
"Comcast Spotlight"," Bloomfield"," CT"," > 100K"," Media & Entertainment"," Radio and Television Broadcasting"
"United Technologies Corporation"," Hartford"," CT"," > 100K"," Manufacturing"," Aerospace and Defense"," Manufacturing"," Tools"," Hardware and Light Machinery"
"Google Inc."," Mountain View"," CA"," 50K - 100K"," Software & Internet"," E-commerce and Internet Businesses"," Business Services"," Advertising"," Marketing and PR"," Media & Entertainment"," Media & Entertainment Other"
"ConocoPhillips", Houston"," TX"," 10K - 50K"," Energy & Utilities"," Gasoline and Oil Refineries"," Energy & Utilities"," Energy & Utilities Other"
"The Dow Chemical Company"," Midland"," MI"," 50K - 100K"," Manufacturing"," Chemicals and Petrochemicals"
"Caterpillar Inc."," Peoria"," IL"," > 100K"," Manufacturing"," Heavy Machinery"," Manufacturing"," Farming and Mining Machinery and Equipment"," Manufacturing"," Tools"," Hardware and Light Machinery"
"United Parcel Service Inc. - UPS"," Atlanta"," GA"," > 100K"," Transportation & Storage"," Postal"," Express Delivery"," and Couriers"," Consumer Services"," Consumer Services Other"
"Pfizer Incorporated"," New York"," NY"," > 100K"," Healthcare"," Pharmaceuticals"," & Biotech"," Pharmaceuticals"," Healthcare"," Pharmaceuticals"," & Biotech"," Biotechnology"," Healthcare"," Pharmaceuticals"," & Biotech"," Diagnostic Laboratories"
"Lowe's Companies Inc."," Mooresville"," NC"," > 100K"," Retail"," Hardware and Building Material Dealers"," Real Estate & Construction"," Construction Equipment and Supplies"," Wholesale & Distribution"," Lumber and Construction Materials Wholesalers"
"Intel Corporation"," Santa Clara"," CA"," > 100K"," Computers & Electronics"," Semiconductor and Microchip Manufacturing"," Computers & Electronics"," Computers & Electronics Other"," Computers & Electronics"," IT and Network Services and Support"
"Energy Transfer Partners L.P."," Dallas"," TX"," 1K - 10K"," Energy & Utilities"," Energy & Utilities Other"
"Cisco Systems Inc."," San Jose"," CA"," 50K - 100K"," Computers & Electronics"," Networking Equipment and Systems"," Software & Internet"," Data Analytics"," Management and Storage"," Software & Internet"," Software"
"Enterprise Products Partners L.P."," Houston"," TX"," 1K - 10K"," Energy & Utilities"," Gasoline and Oil Refineries"
"Aetna Inc."," Hartford"," CT"," 10K - 50K"," Financial Services"," Insurance and Risk Management"
"The Coca-Cola Company"," Atlanta"," GA"," > 100K"," Manufacturing"," Nonalcoholic Beverages"," Wholesale & Distribution"," Grocery and Food Wholesalers"," Wholesale & Distribution"," Wholesale & Distribution Other"
"Lockheed Martin Corporation"," Bethesda"," MD"," > 100K"," Manufacturing"," Aerospace and Defense"," Manufacturing"," Manufacturing Other"," Business Services"," Business Services Other"
"Best Buy Co. Inc."," Minneapolis"," MN"," > 100K"," Computers & Electronics"," Audio"," Video and Photography"," Computers & Electronics"," Consumer Electronics"," Parts and Repair"
"The Walt Disney Company"," Burbank"," CA"," > 100K"," Media & Entertainment"," Motion Picture and Recording Producers"," Travel"," Recreation"," and Leisure"," Amusement Parks and Attractions"
"CHS Inc."," Inver Grove Heights"," MN"," 10K - 50K"," Agriculture & Mining"," Agriculture & Mining Other"
"Sysco Boston LLC"," Plympton"," MA"," 10K - 50K"," Wholesale & Distribution"," Grocery and Food Wholesalers"
"SYSCO Corporation"," Houston"," TX"," 50K - 100K"," Wholesale & Distribution"," Grocery and Food Wholesalers"," Wholesale & Distribution"," Wholesale & Distribution Other"
"FedEx Corporation "," Memphis"," TN"," > 100K"," Transportation & Storage"," Postal"," Express Delivery"," and Couriers"," Retail"," Retail Other"," Business Services"," Business Services Other"
"Merck & Co. Inc."," Whitehouse Station"," NJ"," 50K - 100K"," Healthcare"," Pharmaceuticals"," & Biotech"," Pharmaceuticals"," Healthcare"," Pharmaceuticals"," & Biotech"," Biotechnology"," Consumer Services"," Consumer Services Other"
"INTL FCStone Inc."," New York"," NY"," 1K - 10K"," Financial Services"," Securities Agents and Brokers"," Financial Services"," Financial Services Other"
"Safeway Inc."," Pleasanton"," CA"," > 100K"," Retail"," Grocery and Specialty Food Stores"," Retail"," Retail Other"
"Johnson Controls Inc."," Milwaukee"," WI"," > 100K"," Manufacturing"," Heavy Machinery"," Manufacturing"," Tools"," Hardware and Light Machinery"," Computers & Electronics"," Instruments and Controls"
"Ingram Micro Inc."," Santa Ana"," CA"," 10K - 50K"," Computers & Electronics"," Consumer Electronics"," Parts and Repair"," Wholesale & Distribution"," Wholesale & Distribution Other"," Wholesale & Distribution"," Office Equipment and Supplies Wholesalers"
"Plains All American Pipeline L.P."," Houston"," TX"," 1K - 10K"," Energy & Utilities"," Gasoline and Oil Refineries"," Transportation & Storage"," Transportation & Storage Other"
"World Fuel Services Corporation"," Miami"," FL"," 1K - 10K"," Energy & Utilities"," Gasoline and Oil Refineries"
"Prudential Financial Incorporated"," Newark"," NJ"," 10K - 50K"," Financial Services"," Insurance and Risk Management"," Financial Services"," Personal Financial Planning and Private Banking"," Financial Services"," Trust"," Fiduciary"," and Custody Activities"
"Humana Inc."," Louisville"," KY"," 50K - 100K"," Financial Services"," Insurance and Risk Management"," Healthcare"," Pharmaceuticals"," & Biotech"," Healthcare"," Pharmaceuticals"," and Biotech Other"
"Goldman Sachs"," New York"," NY"," 10K - 50K"," Financial Services"," Personal Financial Planning and Private Banking"," Financial Services"," Securities Agents and Brokers"," Financial Services"," Investment Banking and Venture Capital"
"Tesoro Corporation"," San Antonio"," TX"," 1K - 10K"," Manufacturing"," Chemicals and Petrochemicals"," Energy & Utilities"," Gasoline and Oil Refineries"," Energy & Utilities"," Energy & Utilities Other"
"Liberty Mutual Insurance Company"," Boston"," MA"," 50K - 100K"," Financial Services"," Insurance and Risk Management"
"Honeywell International Inc."," Morristown"," NJ"," > 100K"," Manufacturing"," Aerospace and Defense"," Manufacturing"," Manufacturing Other"," Manufacturing"," Tools"," Hardware and Light Machinery"
"United Continental Holdings"," Chicago"," IL"," 50K - 100K"," Travel"," Recreation"," and Leisure"," Passenger Airlines"
"HCA Holdings Inc."," Nashville"," TN"," > 100K"," Healthcare"," Pharmaceuticals"," & Biotech"," Hospitals"," Healthcare"," Pharmaceuticals"," & Biotech"," Outpatient Care Centers"," Business Services"," Facilities Management and Maintenance"
"John Deere Company"," Moline"," IL"," 50K - 100K"," Manufacturing"," Heavy Machinery"
"Delta Air Lines Inc."," Atlanta"," GA"," 50K - 100K"," Travel"," Recreation"," and Leisure"," Passenger Airlines"," Transportation & Storage"," Air Couriers and Cargo Services"
"Oracle Corporation"," Redwood City"," CA"," > 100K"," Software & Internet"," Software & Internet Other"," Computers & Electronics"," Network Security Products"," Software & Internet"," Software & Internet Other"
"Morgan Stanley"," New York"," NY"," 50K - 100K"," Financial Services"," Investment Banking and Venture Capital"," Financial Services"," Securities Agents and Brokers"," Financial Services"," Personal Financial Planning and Private Banking"
"Hess Corporation"," New York"," NY"," 10K - 50K"," Energy & Utilities"," Gasoline and Oil Refineries"," Energy & Utilities"," Energy & Utilities Other"
"21st Century Fox"," New York"," NY"," 1K - 10K"," Media & Entertainment"," Motion Picture and Recording Producers"
